"V1688 Aquilae" 0.0 0.0 0.0 16753920
"Zeta Aquilae" 1.09375 4.78125 -2.84375 15794175
"Alrai Sector FB-X b1-6" -0.59375 2.53125 -6.53125 16729344
Malloc -3.25 6.46875 0.53125 16768768
Aphra -6.59375 -3.625 1.125 16753920
Verbigeni -2.8125 -6.9375 -2.1875 16729344
"LTT 15574" 6.0 2.6875 4.40625 16729344
"LFT 1448" 8.03125 0.0625 1.0 16753920
Obambivas 2.0 8.125 -2.375 16768768
"MCC 811" -2.0 -8.90625 2.78125 16753920
"Alrai Sector IR-W c1-24" 0.09375 8.75 -3.96875 16729344
Abukunin -7.375 -6.6875 2.75 16753920
Tauerni -5.90625 8.53125 1.375 16729344
"Alrai Sector IH-V b2-2" -9.78125 1.40625 3.6875 16729344
"Alrai Sector HR-W c1-10" -9.0 -6.25 -1.28125 16753920
Calor 6.09375 8.28125 -5.15625 16729344
"Alrai Sector CL-Y d129" -6.78125 -4.28125 8.40625 16768768
"Alrai Sector IH-V b2-8" -3.25 10.34375 4.46875 9109504
Menambe 1.9375 11.71875 -2.0 16729344
"Alrai Sector JH-V b2-4" 10.9375 -4.0625 4.875 16729344
"NLTT 48288" 1.5 -12.34375 -2.875 16729344
"BD+04 3919" 9.09375 1.15625 9.21875 16768768
Sahualasta -10.8125 7.375 -0.09375 16729344
"Alrai Sector DL-Y d111" 7.15625 -3.78125 10.34375 16753920
Chimba -6.65625 -6.28125 -9.5 16729344
Ceramix -4.59375 -11.71875 -4.8125 16768768
Brani -3.96875 -11.0625 -6.65625 16729344
"Alrai Sector IH-V b2-1" -10.9375 -1.03125 8.78125 16729344
"LP 633-12" 6.09375 -8.6875 -9.46875 16729344
Koskit -10.03125 -1.40625 -10.40625 16753920
Frigaha 14.59375 0.59375 -2.9375 16768768
