Achenar 0.0 0.0 0.0 15794175
Mot -2.09375 -4.75 -1.09375 16753920
Liabeze 4.96875 -2.03125 1.375 16768768
"ICZ HR-V b2-1" 4.25 2.90625 5.0 16729344
"ICZ HW-W c1-17" -1.5 2.75 -7.6875 16753920
"ICZ HR-V b2-5" -1.8125 1.34375 -8.21875 16743168
Facece -3.21875 8.03125 0.34375 16777200
Alacagui -3.84375 0.46875 -7.78125 16729344
"ICZ IR-V b2-2" 8.53125 -3.3125 4.5625 16729344
Coastakal -1.0 6.03125 -9.6875 16753920
Nu 3.875 4.96875 -9.75 16743168
"ICZ IR-V b2-5" 11.46875 -0.90625 3.0625 10824234
Hoandcan 11.9375 1.40625 -2.375 16777200
"ICZ IR-V b2-3" 12.65625 -1.1875 -1.1875 16729344
"ICZ DL-X b1-1" -3.1875 -0.28125 -12.5625 16729344
"ICZ LX-T b3-1" -7.84375 1.21875 10.65625 16729344
Cemiess -1.4375 14.125 2.25 16768768
Vequess -4.9375 13.46875 -2.71875 16753920
