Sol 0 0 0 16768768
"Alpha Centauri" 3.03125 -0.09375 3.15625 16768768
"Barnard's Star" -3.03125 1.375 4.9375 16729344
"Luhman 16" 6.3125 0.59375 1.71875 10824234
"WISE 0855-0714" 6.53125 -2.15625 2.03125 7874740
"Wolf 359" 3.875 6.46875 -1.90625 16729344
"Lalande 21185" 0.3125 7.5625 -3.375 16729344
"UV Ceti" -0.1875 -8.3125 -2.125 16729344
Sirius 6.25 -1.28125 -5.75 16777215
"Ross 154" -1.9375 -1.84375 9.3125 16729344
"Yin Sector CL-Y d127" 1.0625 3.875 -9 16753920
Duamta 2.1875 6.625 -7 16777200
"Ross 248" -9.3125 -3.03125 -3.40625 16729344
"WISE 1506+7027" -7.375 7.09375 -2.4375 10828910
"Epsilon Eridani" 1.9375 -7.75 -6.84375 16753920
"Lacaille 9352" -0.40625 -9.8125 4.21875 16729344
"Ross 128" 5.53125 9.4375 0.125 16729344
"EZ Aquarii" -4.4375 -9.3125 4.09375 16729344
"61 Cygni" -11.21875 -1.1875 1.40625 16753920
Procyon 6.21875 2.65625 -9.1875 16777200
"Struve 2398" -10.625 4.75 0.09375 16729344
"Groombridge 34" -9.90625 -3.6875 -5.09375 16729344
"Epsilon Indi" 3.125 -8.875 7.125 16753920
"SPF-LF 1" 2.90625 6.3125 -9.5625 16729344
"Tau Ceti" -0.375 -11.40625 -3.5 16768768
"YZ Ceti" -1.1875 -11.8125 -2.15625 16729344
"WISE 0350-5658" 8.28125 -8.8125 -0.15625 7874740
"Luyten's Star" 6.5625 2.34375 -10.25 16729344
"Teegarden's Star" -3.375 -7.46875 -9.34375 16729344
"Kapteyn's Star" 9.75 -7.46875 -3.46875 16729344
Talta 5.59375 -5.125 10.34375 16729344
"Lacaille 8760" -0.6875 -9.09375 9.09375 16729344
"Kruger 60" -12.625 0 -3.40625 16729344
"Den 1048-3956" 12.375 3.84375 1.875 16729344
"UGPS 0722-05" 8.875 0.03125 -10.03125 10828910
"Ross 614" 7.3125 -1.34375 -11.1875 16729344
"LHS 380" 5.28125 6.75 10.875 16729344
"van Maanen's Star" -6.3125 -11.6875 -4.125 16777215
"Wolf 1061" -0.84375 5.46875 12.84375 16729344
"WISE 0410+1502" -0.46875 -6.125 -12.59375 7874740
"Wolf 424" 4.21875 13.28125 1.4375 16729344
Toolfa 8 -11.1875 -2.65625 16729344
"CD-37 15492" 0.96875 -13.78125 3.15625 16729344
"G 41-14" 7.9375 7.71875 -9.4375 16729344
Mildeptu 14.125 1.3125 -3.28125 16768768
"TZ Arietis" -5.375 -10.59375 -8.5 16729344
"Luyten 143-23" 13.125 -0.75 6.40625 16729344
"LHS 292" 10.9375 9.71875 -1.75 16729344
"LHS 450" -12.40625 7.8125 -1.875 16729344
"LHS 449" 4.1875 -1.90625 14.0625 16729344
